####################################################################
# This layer map file is generated by XStream/strmout
#It can be used during Stream In to preserve original layer/purpose.
#
# OA        OA        Stream        Stream
# Layer        Purpose        LayerNum    Datatype
####################################################################

 METAL1  drawing  16  0 
 prBoundary  drawing  235  0 
 POLY1  drawing  13  0 
 PDIFF  drawing  11  0 
 NDIFF  drawing  12  0 
 NIMP  drawing  8  0 
 METAL1  pin  16  251 
 NWELL  drawing  2  0 
 CONT  drawing  15  0 
 PIMP  drawing  7  0 
